,Gene,log2FC,p-value
8500,CTLA4,0.5730620532807953,0.4029428329782944
14414,FSTL5,0.571612370013953,0.45802063175803087
4654,TP53BP2,0.5710351921284889,0.06329370673482476
7313,TMEM177,0.5709923605612488,0.12500691344965612
8420,STRADB,0.5709740449334109,0.061422616863773906
7307,DBI,0.5707616569477949,0.2282540283434489
8647,ABCA12,0.5695025329547424,0.23585740469798952
9452,BTD,0.5693644902797668,0.20957239785703005
4055,PTGS2,0.5692296900561,0.3282201516922305
10183,CACNA2D3,0.5691803074780875,0.3769968374591172
4681,CNIH3,0.5672787560146946,0.45571376850557277
1288,LEPRE1,0.5666287496337601,0.19623953572879513
14325,FGG,0.5662108856385841,0.54508407066094
11343,SLC9A9,0.5645376772202143,0.18289317478100534
5590,ADCY3,0.5644132681305738,0.08714418989591442
10854,TIMMDC1,0.5625195693609166,0.0039839238250078
8432,MPP4,0.5623678941759553,0.46337285813226026
15048,CTD-2139B15.5,0.5612704939468565,0.31866727141437434
4385,DYRK3,0.5611971269092872,0.13297395818656196
10607,COL8A1,0.5609653802647884,0.4637764348227994
9143,AC110619.2,0.5602815299132862,0.4254507756357355
395,DHRS3,0.560027693346834,0.5470545043804196
9597,RBMS3,0.5593313947331326,0.02681112879015527
5492,KCNS3,0.5588059360922557,0.287980624375065
10074,CYB561D2,0.5582605151376399,0.045376324424037974
8136,AC009948.5,0.5576787827960616,0.06995318924411772
14513,AADAT,0.5572537752880975,0.2800277615330005
4678,CNIH4,0.5544880137346913,0.039673297929822236
14710,RP11-173M11.2,0.554315178131928,0.04979212926341722
10443,ROBO2,0.5540457596756388,0.30302462557599846
5780,LTBP1,0.5539184598451921,0.41668893431539966
6467,SEMA4F,0.5525260392288125,0.20309817875520203
4961,ERO1LB,0.5512798029892587,0.4176051638380627
14617,AC108142.1,0.5510495881604153,0.18747342466723696
11729,EIF5A2,0.5494418769214382,0.20028435984060675
16150,LIX1,0.5489329218827042,0.45971456705331404
6666,KRCC1,0.5482570909299618,0.2347074942279357
3875,RP11-568K15.1,0.5471359712012058,0.3119696166913278
7901,AC019181.2,0.5468798142276183,0.2450203062643632
12701,TBC1D19,0.546611984528629,0.1862316327393607
14381,FAM198B,0.5462860905031022,0.4219311670925753
10625,TFG,0.5456703517881589,0.007695478963526293
10858,PLA1A,0.5455028511739998,0.21285394805233487
7892,FIGN,0.5452571061135416,0.11956715875763742
10937,ADCY5,0.5430137408411468,0.42352105037485893
13453,SCD5,0.5427995543121544,0.4332717875065928
6349,PCYOX1,0.5421896279386527,0.05616941440238931
13517,HSD17B11,0.5412675894670462,0.14922633613422648
5750,XDH,0.5408361644538917,0.39903285328886984
4436,MIR205HG,0.5406092341423951,0.6437646239106829
4949,LYST,0.5399732433160928,0.09227768224035718
8666,PECR,0.5383028345418643,0.13610176094402565
5688,GPN1,0.5375992297767072,0.011774091431520636
551,MFAP2,0.5369513193723514,0.47442957564117283
14357,TDO2,0.5356055652949643,0.2840834125949058
8082,HOXD4,0.5350018500817066,0.1424018281313499
12212,MFI2,0.5319304361327006,0.5648873014683893
